Model,Entity F1-Score,Precision,Recall,Token Accuracy,Inference Latency (ms),Total Train Time (s),Avg Time per Epoch (s)
SimpleRNN,0.32515090543259556,0.300148588410104,0.3546971027216857,0.9314757004663352,0.878366231918335,5.325722694396973,0.5308809757232666
LSTM,0.2152736019242333,0.3416030534351145,0.15715539947322213,0.9364088333911434,0.9114742279052734,4.544759273529053,0.4532019138336182
GRU,0.2594661700806953,0.20067210753720596,0.3669885864793679,0.9053069719042663,0.806964635848999,4.423622131347656,0.4410167932510376
Bidirectional,0.16528925619834708,0.38338658146964855,0.10535557506584724,0.9347901491501908,0.9825241565704346,4.9514501094818115,0.4941023588180542
BidirectionalGRU,0.33759022765130486,0.459214501510574,0.266900790166813,0.945041816009558,1.0697424411773682,4.949205160140991,0.4931877851486206
AttentionLSTM,0.003457216940363008,0.1111111111111111,0.001755926251097454,0.9296257756195321,2.0784378051757812,4.729043006896973,0.6740906238555908
DeepRNN,0.012068965517241381,0.3333333333333333,0.006145741878841089,0.9296643157205072,0.9696269035339355,4.442134618759155,0.49250104692247176
